serialnumber,cruise_number,day,month,year,latitude,longitude,ctd,depth,peri,but,fuco,viola,hex,diad,allo,zea,tchlb,chla,tchla,pico_chla,nano_chla,micro_chla,wdp,micro,nano,pico,date,monthabb,season,ze,z_ze
67,8,25,2,2002,43.381,7.885,1,130,0.034,0.02,0.044,0.004,0.085,0.015,0.013,0.012,0.076,0.319,0.319,0.0869,0.1224,0.1097,0.34848,0.2867309458218549,0.6059171258034894,0.2024793388429752,2002-02-25,Feb,Winter,40.781089116575664,3.19
68,8,25,2,2002,43.381,7.885,1,110,0.066,0.056,0.099,0.018,0.277,0.04,0.042,0.027,0.256,0.891,0.891,0.2756,0.3879,0.2275,1.00153,0.21483130809860915,0.6759557876449033,0.21707787085758787,2002-02-25,Feb,Winter,40.781089116575664,2.7
69,8,25,2,2002,43.381,7.885,1,70,0.058,0.055,0.098,0.021,0.259,0.039,0.04,0.027,0.249,0.853,0.853,0.2703,0.3662,0.2164,0.9570000000000001,0.21550679205851622,0.6679101358411703,0.22213166144200625,2002-02-25,Feb,Winter,40.781089116575664,1.72
70,8,25,2,2002,43.381,7.885,1,50,0.063,0.059,0.102,0.024,0.276,0.041,0.044,0.027,0.264,0.882,0.882,0.2779,0.3811,0.223,1.02051,0.21271717082635153,0.6743099038715936,0.2184495987300467,2002-02-25,Feb,Winter,40.781089116575664,1.23
71,8,25,2,2002,43.381,7.885,1,40,0.051,0.049,0.081,0.022,0.232,0.036,0.036,0.027,0.246,0.785,0.785,0.2696,0.3308,0.1847,0.8664099999999999,0.1999976916240579,0.6614651262104546,0.2429681097863598,2002-02-25,Feb,Winter,40.781089116575664,0.98
72,8,25,2,2002,43.381,7.885,1,30,0.058,0.048,0.07,0.025,0.248,0.042,0.037,0.027,0.254,0.815,0.815,0.28,0.3543,0.1807,0.88291,0.18411842656669428,0.6807488872025461,0.244679525659467,2002-02-25,Feb,Winter,40.781089116575664,0.74
73,8,25,2,2002,43.381,7.885,1,20,0.129,0.067,0.121,0.046,0.367,0.11,0.072,0.047,0.317,1.34,1.34,0.3878,0.573,0.3791,1.42212,0.2161842882457177,0.6807512727477286,0.2037099541529547,2002-02-25,Feb,Winter,40.781089116575664,0.49
74,8,25,2,2002,43.381,7.885,1,5,0.134,0.061,0.103,0.045,0.332,0.146,0.085,0.047,0.263,1.226,1.226,0.3308,0.534,0.3612,1.37846,0.2059979977656225,0.7048010098225557,0.1831319008168536,2002-02-25,Feb,Winter,40.781089116575664,0.12
75,9,22,3,2002,43.362,7.902,-9,5,0,0.018,0.047,0,0.149,0.019,0.045,0.12,0.023,0.699,0.699,0.2128,0.3746,0.1116,0.6716300000000001,0.10916724982505246,0.6839331179369592,0.29342048449294994,2002-03-22,Mar,Spring,178.61238863660924,0.03
76,9,22,3,2002,43.37116666666667,7.9093,-9,5,0,0.017,0.049,0,0.15,0.016,0.06,0.112,0.022,0.76,0.76,0.2145,0.4205,0.125,0.7340800000000001,0.10413034001743679,0.7244986922406277,0.25106255448997383,2002-03-22,Mar,Spring,178.61238863660924,0.03
77,9,22,3,2002,43.367,7.902,1,10,0,0.016,0.051,0,0.145,0.028,0.078,0.105,0.026,0.875,0.875,0.24,0.487,0.148,0.80917,0.09832297292287158,0.7534510671428748,0.21811238676668684,2002-03-22,Mar,Spring,178.61238863660924,0.06
78,9,22,3,2002,43.365,7.902,2,10,0,0.027,0.076,0,0.225,0.048,0.075,0.118,0.026,0.898,0.898,0.1995,0.5312,0.1673,0.95422,0.1242480769633837,0.7621827251577205,0.2055291232629792,2002-03-22,Mar,Spring,178.61238863660924,0.06
79,9,22,3,2002,43.365,7.902,2,5,0,0.021,0.059,0,0.171,0.046,0.072,0.104,0.022,0.787,0.787,0.19,0.4555,0.1415,0.8227999999999999,0.11186193485658728,0.759880894506563,0.20930967428293634,2002-03-22,Mar,Spring,178.61238863660924,0.03
143,13,20,7,2002,43.367,7.904,1,10,0.02,0.005,0.004,0.001,0.034,0.014,0,0.014,0,0.105,0.105,0.0139,0.052,0.0391,0.08896000000000001,0.27697841726618705,0.6344424460431655,0.2376348920863309,2002-07-20,Jul,Summer,131.77488363574355,0.08
144,13,20,7,2002,43.367,7.904,1,10,0.021,0.005,0.003,0,0.031,0.014,0,0.013,0,0.096,0.096,0.0125,0.0458,0.0377,0.08345,0.28759736369083283,0.6220491312162972,0.235230677052127,2002-07-20,Jul,Summer,131.77488363574355,0.08
145,13,20,7,2002,43.367,7.904,1,5,0.021,0.005,0.003,0,0.033,0.015,0,0.012,0,0.101,0.101,0.0119,0.0502,0.0389,0.08418,0.2851033499643621,0.6525302922309336,0.21525302922309336,2002-07-20,Jul,Summer,131.77488363574355,0.04
146,13,20,7,2002,43.367,7.904,1,5,0.017,0.003,0,0,0.023,0.007,0,0.012,0,0.1,0.1,0.016,0.0469,0.0371,0.06258,0.24992010226909558,0.603867050175775,0.289549376797699,2002-07-20,Jul,Summer,131.77488363574355,0.04
147,13,20,7,2002,43.367,7.904,1,5,0.02,0.004,0,0,0.032,0.022,0,0.014,0,0.087,0.087,0.0127,0.0445,0.0298,0.07946,0.23156305059149257,0.6594512962496853,0.2660458092121822,2002-07-20,Jul,Summer,131.77488363574355,0.04
148,13,20,7,2002,43.368,7.898,2,35,0.045,0.072,0.056,0,0.253,0.022,0,0.009,0.035,0.479,0.479,0.0388,0.312,0.1282,0.5233,0.24605388878272505,0.8703802789986623,0.07211924326390216,2002-07-20,Jul,Summer,131.77488363574355,0.27
149,13,20,7,2002,43.368,7.898,2,35,0.05,0.071,0.057,0,0.252,0.024,0.003,0.009,0.038,0.505,0.505,0.0428,0.322,0.1401,0.5437900000000001,0.2481104838264771,0.8594126409091744,0.07320840765736772,2002-07-20,Jul,Summer,131.77488363574355,0.27
150,13,20,7,2002,43.368,7.898,2,35,0.049,0.076,0.059,0,0.264,0.024,0.003,0.008,0.036,0.513,0.513,0.0397,0.3336,0.1397,0.56164,0.24414215511715687,0.8734420625311587,0.06573605868527882,2002-07-20,Jul,Summer,131.77488363574355,0.27
151,13,20,7,2002,43.368,7.898,2,35,0.054,0.063,0.051,0,0.234,0.022,0,0.008,0.034,0.476,0.476,0.0386,0.2988,0.1386,0.49112,0.2631536080794918,0.8503013520117283,0.07236520605961884,2002-07-20,Jul,Summer,131.77488363574355,0.27
152,13,20,7,2002,43.368,7.898,2,35,0.052,0.07,0.055,0,0.239,0.023,0,0.008,0.034,0.47,0.47,0.0372,0.2964,0.1363,0.50826,0.2629362924487467,0.8505292566796521,0.0699248416164955,2002-07-20,Jul,Summer,131.77488363574355,0.27
153,13,20,7,2002,43.368,7.898,2,35,0.05,0.073,0.058,0,0.253,0.023,0,0.009,0.036,0.482,0.482,0.0391,0.3078,0.1351,0.53273,0.25618981472791097,0.856888104668406,0.07213785594954292,2002-07-20,Jul,Summer,131.77488363574355,0.27
154,13,20,7,2002,43.368,7.898,2,10,0.031,0.008,0.005,0.001,0.043,0.016,0,0.017,0,0.143,0.143,0.017,0.0669,0.0591,0.11831,0.30699011072605864,0.6177837883526329,0.21697236074718962,2002-07-20,Jul,Summer,131.77488363574355,0.08
155,13,20,7,2002,43.368,7.898,2,10,0.033,0.008,0.005,0.001,0.047,0.014,0,0.018,0,0.156,0.156,0.0184,0.0741,0.0635,0.12614,0.3025210084033613,0.6273188520691296,0.2154748691929602,2002-07-20,Jul,Summer,131.77488363574355,0.08
156,13,20,7,2002,43.368,7.898,2,10,0.033,0.008,0.005,0.001,0.044,0.017,0,0.017,0,0.142,0.142,0.0164,0.0657,0.06,0.12127,0.31466974519666857,0.6151562628844727,0.2116764245072978,2002-07-20,Jul,Summer,131.77488363574355,0.08
157,13,20,7,2002,43.368,7.898,2,5,0.015,0.004,0.003,0,0.027,0.008,0,0.012,0,0.091,0.091,0.0132,0.0455,0.0324,0.07092,0.26057529610829105,0.6324027072758037,0.25549915397631134,2002-07-20,Jul,Summer,131.77488363574355,0.04
158,13,20,7,2002,43.368,7.898,2,5,0.018,0.005,0.004,0,0.034,0.011,0,0.014,0,0.103,0.103,0.0141,0.0526,0.0363,0.08712,0.26170798898071623,0.647842056932966,0.242653810835629,2002-07-20,Jul,Summer,131.77488363574355,0.04
159,13,20,7,2002,43.368,7.898,2,5,0.014,0.004,0.003,0,0.026,0.01,0,0.015,0.006,0.098,0.098,0.024,0.0436,0.0304,0.07755000000000001,0.22643455834945192,0.5588652482269503,0.34545454545454546,2002-07-20,Jul,Summer,131.77488363574355,0.04
176,14,2,9,2002,43.364,7.895,1,40,0.02,0.037,0.013,0.003,0.139,0.014,0.005,0.052,0.052,0.351,0.377,0.109,0.2158,0.0522,0.37050000000000005,0.10439946018893385,0.733144399460189,0.3087719298245613,2002-09-02,Sep,Fall,132.77570872980826,0.3
177,14,2,9,2002,43.364,7.895,1,40,0.017,0.05,0.022,0.005,0.167,0.015,0.006,0.062,0.054,0.385,0.43,0.1171,0.2532,0.0597,0.44768,0.1115975696926376,0.741534131522516,0.2923516797712652,2002-09-02,Sep,Fall,132.77570872980826,0.3
