btle,date,press,fluo,depth,fluo_volt,temp,fuco,peri,hex,but,allo,tchlb,zea,dvchla,chla,tchla,phytinea,profile,ze,wdp,micro,nano,pico,amicro,anano,apico,microfluo,nanofluo,picofluo,optical_layer,ratio
1,2013-01-24,399.77,0.1605,400,1.174,13.4478,0,0,0,0,0,0,6e-4,0,6e-4,6e-4,0,1,81.81601199323963,9.059999999999999e-4,0,0,1,0.7802434498836519,0.009705790364604349,0.004774107683961783,0,0,2.8644646103770694e-6,10.777841535298682,267.50000000000006
2,2013-01-24,150.75,0.2195,151,1.2984,13.1664,0.0285,0.0032,0.0456,0.0221,0.0072,0.0448,0.0081,0.0064,0.2137,0.2202,0.0062,1,81.81601199323963,0.198721,0.2385454984626688,0.6338434287267073,0.21710337609009617,0.07047858400775954,0.038177982398071346,0.03898444712792862,0.0037020792394669116,0.005328589690966525,0.0018636968500427102,4.691135179575253,0.9968210717529519
3,2013-01-24,78.833,0.2191,79,1.2978,13.1731,0.0272,0.0029,0.0427,0.0209,0.0066,0.0445,0.0074,0.0065,0.2057,0.2122,0,1,81.81601199323963,0.187801,0.2401478160393182,0.6255291505370046,0.2229966826587718,0.03516637792250671,0.0567280884196852,0.07154873875764815,0.0017920563432651164,0.007529932482271951,0.003385678881249697,2.9311237032214903,1.032516493873704
4,2013-01-24,70.181,0.2202,70,1.2997,13.1694,0.0297,0.0033,0.0436,0.0215,0.0069,0.0466,0.008,0.0068,0.217,0.2239,0,1,81.81601199323963,0.19748400000000005,0.24998480889591052,0.6121306029855581,0.2239877660975066,0.032239362659709614,0.05960686711234341,0.07719084727193826,0.0018044886695132737,0.008169481282942415,0.0038711874388254568,2.71112226867727,0.9834747655203216
5,2013-01-24,59.929,0.2265,60,1.3112,13.1607,0.0291,0.0032,0.045,0.0219,0.0068,0.0476,0.008,0.0071,0.2175,0.2245,0,1,81.81601199323963,0.19864199999999999,0.2433523625416579,0.6188419367505361,0.22615559650023662,0.02927195916037554,0.06297716787890825,0.08398317332924253,0.0015992033938186203,0.008749418865510004,0.0042639879162278335,2.4666762302948024,1.0089086859688197
6,2013-01-24,50.428,0.225,50,1.3086,13.161,0.0285,0.0029,0.0432,0.0211,0.0066,0.0451,0.0079,0.0069,0.2106,0.2175,0.0027,1,81.81601199323963,0.19176200000000002,0.24576297702360217,0.6176093282297848,0.2244866031851983,0.026577683998620687,0.06653803271648355,0.09137318285420203,0.0014206688363618525,0.008938055857087549,0.0044613720584522594,2.2222301919123355,1.0344827586206897
7,2013-01-24,40.958,0.232,41,1.3208,13.1575,0.0304,0.0031,0.0447,0.0216,0.0069,0.0468,0.008,0.0073,0.2211,0.2284,0,1,81.81601199323963,0.19986399999999999,0.25155105471720773,0.6136622903574431,0.22201096745787138,0.024365534459501598,0.06991463637389041,0.0985785846811402,0.0013999037737410444,0.009799268092524424,0.004998654356679056,2.002228757368115,1.0157618213660247
8,2013-01-24,29.59,0.2406,30,1.3355,13.1571,0.0317,0.0029,0.0449,0.0213,0.0074,0.0478,0.0089,0.0071,0.2277,0.2348,0,1,81.81601199323963,0.206075,0.2529176270775203,0.6067936430911076,0.22526264709450441,0.02191027453570947,0.07427516345449778,0.10816125019970639,0.0013011429424554968,0.01058236486117467,0.0057208291023570544,1.7333381151474012,1.024701873935264
9,2013-01-24,20.027,0.238,20,1.3312,13.158,0.0317,0.0031,0.0465,0.0218,0.0078,0.0492,0.0088,0.0068,0.2322,0.239,0,1,81.81601199323963,0.21129599999999998,0.24753899742541272,0.6147347796456156,0.2235536877177041,0.019893589962416483,0.07847484131805026,0.11767878374269099,0.0011769409961628304,0.011529650214204929,0.006287498731163253,1.4888920767649343,0.99581589958159
10,2013-01-24,10.102,0.2328,10,1.3223,13.1786,0.0306,0.0033,0.0441,0.0208,0.0091,0.0448,0.0091,0.0072,0.2278,0.235,0.002,1,81.81601199323963,0.209713,0.2421023017171086,0.626985451545684,0.21292432991755397,0.0180625268272086,0.08291197802164173,0.12803380247167875,0.0010276501401281426,0.012216381934934543,0.006406455225548486,1.2444460383824671,0.9906382978723405
