    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]    CDOM[V] CDOM[Urel]   CSTAR[V]    C660[%]  C660[m-1]
      0.000    14.8203    14.8201    38.2557    28.5252    5.42669    235.492     1.4360     0.3078     0.0000    -1.6296     4.4717    90.4462     0.1004
      1.000    14.8203    14.8201    38.2557    28.5252    5.42669    235.492     1.4360     0.3078     0.0000    -1.6296     4.4717    90.4462     0.1004
      2.000    14.8091    14.8088    38.2553    28.5274    5.45664    236.792     1.4398     0.3106     0.0000    -1.6296     4.4633    90.2738     0.1023
      3.000    14.7665    14.7660    38.2558    28.5374    5.45436    236.693     1.4473     0.3164     0.0000    -1.6296     4.4546    90.0957     0.1043
      4.000    14.7378    14.7372    38.2560    28.5440    5.45436    236.693     1.4566     0.3235     0.0000    -1.6296     4.4516    90.0344     0.1050
      5.000    14.7173    14.7165    38.2562    28.5487    5.45117    236.555     1.4800     0.3424     0.0000    -1.6296     4.4488    89.9783     0.1056
      6.000    14.6986    14.6977    38.2565    28.5532    5.45038    236.520     1.4960     0.3559     0.0000    -1.6296     4.4475    89.9514     0.1059
      7.000    14.6924    14.6913    38.2567    28.5547    5.44155    236.138     1.5042     0.3630     0.0000    -1.6296     4.4455    89.9093     0.1064
      8.000    14.6901    14.6889    38.2564    28.5550    5.42440    235.393     1.5056     0.3642     0.0000    -1.6296     4.4431    89.8614     0.1069
      9.000    14.6763    14.6749    38.2570    28.5586    5.41849    235.137     1.5083     0.3667     0.0000    -1.6296     4.4431    89.8614     0.1069
     10.000    14.6405    14.6390    38.2577    28.5672    5.41754    235.096     1.5112     0.3692     0.0000    -1.6296     4.4431    89.8614     0.1069
     11.000    14.5970    14.5952    38.2598    28.5786    5.41738    235.089     1.5148     0.3725     0.0000    -1.6296     4.4494    89.9903     0.1055
     12.000    14.5960    14.5943    38.2601    28.5788    5.40787    234.676     1.5148     0.3725     0.0000    -1.6296     4.4513    90.0277     0.1050
     13.000    14.5949    14.5929    38.2606    28.5796    5.39777    234.238     1.5171     0.3745     0.0000    -1.6296     4.4527    90.0577     0.1047
     14.000    14.5867    14.5846    38.2612    28.5819    5.39621    234.170     1.5148     0.3725     0.0000    -1.6296     4.4527    90.0577     0.1047
     15.000    14.5786    14.5763    38.2624    28.5847    5.39365    234.059     1.5148     0.3725     0.0000    -1.6296     4.4528    90.0586     0.1047
     16.000    14.5751    14.5727    38.2628    28.5858    5.38746    233.790     1.5171     0.3745     0.0000    -1.6296     4.4530    90.0623     0.1047
     17.000    14.5704    14.5678    38.2630    28.5871    5.38501    233.684     1.5186     0.3760     0.0000    -1.6296     4.4586    90.1774     0.1034
     18.000    14.5563    14.5536    38.2639    28.5909    5.38313    233.603     1.5225     0.3794     0.0000    -1.6296     4.4629    90.2673     0.1024
     19.000    14.5529    14.5497    38.2647    28.5924    5.38087    233.504     1.5253     0.3820     0.0000    -1.6296     4.4629    90.2673     0.1024
     20.000    14.5527    14.5497    38.2647    28.5924    5.38087    233.504     1.5279     0.3843     0.0000    -1.6296     4.4629    90.2673     0.1024
     21.000    14.5525    14.5492    38.2648    28.5927    5.38087    233.504     1.5286     0.3850     0.0000    -1.6296     4.4629    90.2673     0.1024
     22.000    14.5525    14.5492    38.2650    28.5927    5.38087    233.504     1.5335     0.3896     0.0000    -1.6296     4.4631    90.2697     0.1023
     23.000    14.5514    14.5479    38.2652    28.5931    5.38087    233.504     1.5335     0.3896     0.0000    -1.6296     4.4636    90.2792     0.1023
     24.000    14.5514    14.5479    38.2654    28.5931    5.37715    233.343     1.5335     0.3896     0.0000    -1.6296     4.4658    90.3246     0.1018
