


BODC Request Format Std. V1.0           Headers=  38 Data Cycles=    501
Series=     1113470                     Produced: 21-Jan-2013
Id                         CTD051 Unit> British Oceanographic Data Centre Liver>
018d31.8mS025d6.1mW                     start:20121107143700 end:20121107153100
Dep: floor 5235.4 sensor    4.0   500.4 Nom. sample int.:    1.0 DB
   13 Parameters included:
Parameter f    P    Q Absent Data Value Minimum Value  Maximum Value       Units
ACYCAA01  Y   11   21             -1.00          1.00         501.00     Dmnless
Sequence number
ATTNDR01  Y   23   33             -1.00          0.03           0.08          /m
Attenuance (red light wavelength) per unit length of the water body by 25cm pat>
CPHLPS01  Y   35   45             -1.00         -0.06           0.82      mg/m^3
Concentration of chlorophyll-a {chl-a} per unit volume of the water body [parti>
DOXYSC01  Y   47   57             -1.00        159.07         226.04      umol/l
Concentration of oxygen {O2} per unit volume of the water body [dissolved phase>
DWIRPP01  Y   59   69             -1.00          0.00           3.83       W/m^2
Downwelling 2-pi scalar irradiance as energy (PAR wavelengths) in the water bod>
OXYSSC01  Y   71   81             -1.00         54.15         103.56           %
Saturation of oxygen {O2} in the water body [dissolved phase] by Sea-Bird SBE 4>
POPTDR01  Y   83   93             -1.00         98.13          99.24           %
Transmittance (red light wavelength) per 25cm of the water body by 25cm path le>
POTMCV01  Y   95  105             -9.00          8.13          24.07        degC
Potential temperature of the water body by computation using UNESCO 1983 algori>
PRESPR01  Y  107  117            -99.00          4.00         504.00        dbar
Pressure (spatial co-ordinate) exerted by the water body by profiling pressure >
PSALCC01  Y  119  129             -1.00         34.65          37.05     Dmnless
Practical salinity of the water body by CTD and computation using UNESCO 1983 a>
SIGTPR01  Y  131  141             -1.00         25.18          26.98      kg/m^3
Sigma-theta of the water body by CTD and computation from salinity and potentia>
TEMPST01  Y  143  153             -9.00          8.19          24.07        degC
Temperature of the water body by CTD or STD
UWIRPP01  Y  155  165             -1.00          0.00           0.20       W/m^2
Upwelling 2-pi scalar irradiance as energy (PAR wavelengths) in the water body >

Format Record
(10,1,%9d,1,1,%7.3f,1,1,%6.2f,1,1,%5.1f,1,1,%6.2f,1,1,%6.2f,1,1,%7.3f,1,1,%6.3f,
1,1,%8.2f,1,1,%6.3f,1,1,%6.3f,1,1,%6.3f,1,1,%6.2f,1,1)

          

  Cycle   ACYCAA01:1  ATTNDR01:1  CPHLPS01:1  DOXYSC01:1  DWIRPP01:1  OXYSSC01:1  POPTDR01:1  POTMCV01:1  PRESPR01:1  PSALCC01:1  SIGTPR01:1  TEMPST01:1  UWIRPP01:1  
Number              f           f           f           f           f           f           f           f           f           f           f           f           f 
       1)          1       0.067        0.04       219.1        3.83      103.05      98.330      24.045        4.00      37.055      25.186      24.040        0.20 
       2)          2       0.067        0.02       219.2        3.46      103.09      98.350      24.057        5.00      37.055      25.183      24.052        0.19 
       3)          3       0.066        0.03       218.7        3.09      102.92      98.370      24.075        6.00      37.054      25.177      24.070        0.18 
       4)          4       0.067        0.03       219.0        2.70      103.01      98.340      24.060        7.00      37.054      25.181      24.056        0.17 
       5)          5       0.067        0.04       218.9        2.55      102.95      98.330      24.051        8.00      37.055      25.184      24.047        0.17 
       6)          6       0.068        0.02       218.6        2.46      102.74      98.310      23.999        9.00      37.053      25.198      23.995        0.17 
       7)          7       0.071        0.02       219.5        2.27      102.99      98.250      23.906       10.00      37.054      25.227      23.902        0.17 
       8)          8       0.072        0.04       219.3        2.17      102.91      98.230      23.916       11.00      37.049      25.220      23.913        0.17 
       9)          9       0.071        0.02       219.2        2.09      102.72      98.240      23.836       12.00      37.049      25.244      23.833        0.17 
      10)         10       0.071        0.03       219.2        2.01      102.72      98.230      23.835       13.00      37.049      25.244      23.832        0.17 
      11)         11       0.071        0.02       219.0        1.87      102.64      98.230      23.841       14.00      37.051      25.244      23.838        0.16 
      12)         12       0.071        0.01       219.2        1.80      102.70      98.240      23.832       15.00      37.050      25.246      23.829        0.16 
      13)         13       0.071        0.02       219.3        1.75      102.75      98.240      23.824       16.00      37.050      25.248      23.822        0.16 
      14)         14       0.071        0.05       219.4        1.64      102.81      98.240      23.821       17.00      37.050      25.249      23.819        0.16 
      15)         15       0.071        0.03       219.5        1.59      102.83      98.240      23.817       18.00      37.049      25.250      23.815        0.15 
      16)         16       0.072        0.02       219.4        1.50      102.80      98.220      23.814       19.00      37.049      25.251      23.812        0.15 
      17)         17       0.071        0.03       219.6        1.44      102.89      98.240      23.812       20.00      37.048      25.250      23.811        0.15 
      18)         18       0.071        0.05       219.3        1.40      102.71      98.250      23.811       21.00      37.048      25.251      23.810        0.14 
      19)         19       0.071        0.05       219.1        1.37      102.61      98.250      23.808       22.00      37.048      25.252      23.807        0.14 
      20)         20       0.071        0.04       219.4        1.29      102.79      98.230      23.806       23.00      37.048      25.252      23.805        0.14 
      21)         21       0.072        0.05       219.3        1.23      102.70      98.220      23.808       24.00      37.048      25.252      23.807        0.14 
      22)         22       0.073        0.02       219.4        1.24      102.71      98.200      23.787       25.00      37.045      25.255      23.787        0.13 
