The calibration procedure has not been performed for this float
Collected data:
End of intercalibration profile when the optode stayed on air
-------------------------------------------------------------

Position: 34°14'N 24°49'E (météo du 22/05/2015 à 11:00 TU)
Tair: 21.5°C
Pair: 1014.8 hPa
Vent (Force et Direction): 5kt 224°
Humidité: 79%

SN DO: 1507

Scan,Date,C1RPhase,C2RPhase,T0(degC)
397,22/05/15 12:02:16,39.690,8.932,20.267
398,22/05/15 12:02:26,39.683,8.934,20.400
399,22/05/15 12:02:36,39.671,8.933,20.504
400,22/05/15 12:02:46,39.661,8.935,20.537
401,22/05/15 12:02:56,39.650,8.938,20.692
402,22/05/15 12:03:06,39.639,8.937,20.798
403,22/05/15 12:03:16,39.630,8.940,20.856
404,22/05/15 12:03:26,39.612,8.942,20.939
405,22/05/15 12:03:36,39.606,8.945,21.003
406,22/05/15 12:03:46,39.595,8.947,21.088
407,22/05/15 12:03:56,39.579,8.948,21.155
408,22/05/15 12:04:06,39.485,8.950,21.313
409,22/05/15 12:04:16,39.575,8.952,21.397
410,22/05/15 12:04:26,39.568,8.954,21.425
411,22/05/15 12:04:36,39.467,8.957,22.052
412,22/05/15 12:04:46,39.477,8.959,21.941
413,22/05/15 12:04:56,39.455,8.964,22.031
414,22/05/15 12:05:06,39.462,8.970,22.098
415,22/05/15 12:05:16,39.454,8.972,22.161
416,22/05/15 12:05:26,39.451,8.975,22.215
417,22/05/15 12:05:36,39.449,8.978,22.214
418,22/05/15 12:05:46,39.444,8.979,22.240
419,22/05/15 12:05:56,39.448,8.981,22.269
420,22/05/15 12:06:06,39.440,8.984,22.297
421,22/05/15 12:06:16,39.442,8.984,22.331
422,22/05/15 12:06:26,39.437,8.985,22.352
423,22/05/15 12:06:36,39.437,8.987,22.362
424,22/05/15 12:06:46,39.433,8.987,22.388
425,22/05/15 12:06:56,39.430,8.989,22.372
426,22/05/15 12:07:06,39.426,8.988,22.373
427,22/05/15 12:07:16,39.425,8.988,22.400
428,22/05/15 12:07:26,39.425,8.989,22.410
429,22/05/15 12:07:36,39.419,8.990,22.383
430,22/05/15 12:07:46,39.423,8.991,22.424
431,22/05/15 12:07:56,39.422,8.991,22.405
432,22/05/15 12:08:06,39.419,8.991,22.396
433,22/05/15 12:08:16,39.423,8.991,22.464
434,22/05/15 12:08:26,39.421,8.991,22.505
435,22/05/15 12:08:36,39.409,8.991,22.471
436,22/05/15 12:08:46,39.413,8.992,22.515
437,22/05/15 12:08:56,39.405,8.990,22.530
438,22/05/15 12:09:06,39.398,8.994,22.591
439,22/05/15 12:09:16,39.396,8.993,22.607
440,22/05/15 12:09:26,39.390,8.992,22.660
441,22/05/15 12:09:36,39.385,8.992,22.699
442,22/05/15 12:09:46,39.382,8.993,22.729
443,22/05/15 12:09:56,39.370,8.993,22.748
444,22/05/15 12:10:06,39.365,8.994,22.811
445,22/05/15 12:10:16,39.349,8.994,22.833
446,22/05/15 12:10:26,39.357,8.995,22.876
447,22/05/15 12:10:36,39.338,8.995,22.920
448,22/05/15 12:10:46,39.325,8.996,22.976
449,22/05/15 12:10:56,39.314,8.998,23.025
450,22/05/15 12:11:06,39.312,8.998,23.092
451,22/05/15 12:11:16,39.297,8.999,23.093
452,22/05/15 12:11:26,39.287,9.000,23.167
453,22/05/15 12:11:36,39.266,9.001,23.169
454,22/05/15 12:11:46,39.268,9.003,23.218
455,22/05/15 12:11:56,39.255,9.006,23.266
456,22/05/15 12:12:06,39.234,9.007,23.166
457,22/05/15 12:12:16,39.222,9.008,23.189
458,22/05/15 12:12:26,39.210,9.008,23.254
459,22/05/15 12:12:36,39.198,9.010,23.319
460,22/05/15 12:12:46,39.193,9.011,23.393
461,22/05/15 12:12:56,39.177,9.013,23.434
462,22/05/15 12:13:06,39.163,9.014,23.476
463,22/05/15 12:13:16,39.169,9.016,23.631
464,22/05/15 12:13:26,39.194,9.016,24.123
465,22/05/15 12:13:36,39.153,9.019,24.374
466,22/05/15 12:13:46,39.135,9.021,24.516
467,22/05/15 12:13:56,39.122,9.025,24.592
468,22/05/15 12:14:06,39.114,9.030,24.640
469,22/05/15 12:14:16,39.112,9.031,24.679
470,22/05/15 12:14:26,39.108,9.036,24.713
471,22/05/15 12:14:36,39.099,9.038,24.751
472,22/05/15 12:14:46,39.096,9.040,24.792
473,22/05/15 12:14:56,39.089,9.043,24.832
474,22/05/15 12:15:06,39.086,9.043,24.874
475,22/05/15 12:15:16,39.078,9.045,24.922
476,22/05/15 12:15:26,39.067,9.046,24.982
477,22/05/15 12:15:36,39.055,9.046,25.042
478,22/05/15 12:15:46,39.049,9.048,25.098
479,22/05/15 12:15:56,39.035,9.051,25.157
480,22/05/15 12:16:06,39.030,9.054,25.218
481,22/05/15 12:16:16,39.018,9.052,25.284
482,22/05/15 12:16:26,39.008,9.055,25.349
483,22/05/15 12:16:36,38.997,9.057,25.412
484,22/05/15 12:16:46,38.991,9.057,25.475
485,22/05/15 12:16:56,38.979,9.060,25.528
486,22/05/15 12:17:06,38.976,9.059,25.573
487,22/05/15 12:17:16,38.969,9.062,25.615
488,22/05/15 12:17:26,38.960,9.065,25.653
489,22/05/15 12:17:36,38.958,9.066,25.687
490,22/05/15 12:17:46,38.952,9.065,25.715
491,22/05/15 12:17:56,38.952,9.065,25.740
492,22/05/15 12:18:06,38.948,9.068,25.764
493,22/05/15 12:18:16,38.943,9.067,25.787
494,22/05/15 12:18:26,38.936,9.069,25.806
495,22/05/15 12:18:36,38.937,9.069,25.819
496,22/05/15 12:18:46,38.932,9.069,25.837
497,22/05/15 12:18:56,38.931,9.070,25.853
498,22/05/15 12:19:06,38.927,9.069,25.880
499,22/05/15 12:19:16,38.926,9.071,25.923
500,22/05/15 12:19:26,38.927,9.072,25.954
501,22/05/15 12:19:36,38.926,9.072,25.969
502,22/05/15 12:19:46,38.926,9.070,25.984
503,22/05/15 12:19:56,38.925,9.071,25.994
504,22/05/15 12:20:06,38.928,9.071,25.997
505,22/05/15 12:20:16,38.929,9.070,25.992
506,22/05/15 12:20:26,38.933,9.070,25.977
507,22/05/15 12:20:36,38.935,9.070,25.965
508,22/05/15 12:20:46,38.933,9.067,25.960
509,22/05/15 12:20:56,38.936,9.069,25.960
510,22/05/15 12:21:06,38.935,9.068,25.959
511,22/05/15 12:21:16,38.935,9.066,25.950
512,22/05/15 12:21:26,38.942,9.067,25.936
513,22/05/15 12:21:36,38.941,9.065,25.919
514,22/05/15 12:21:46,38.942,9.063,25.901
515,22/05/15 12:21:56,38.946,9.064,25.881
516,22/05/15 12:22:06,38.948,9.065,25.861
517,22/05/15 12:22:16,38.949,9.062,25.840
518,22/05/15 12:22:26,38.954,9.062,25.819
519,22/05/15 12:22:36,38.954,9.061,25.798
520,22/05/15 12:22:46,38.961,9.059,25.777
521,22/05/15 12:22:56,38.963,9.060,25.756
522,22/05/15 12:23:06,38.962,9.058,25.736
523,22/05/15 12:23:16,38.966,9.058,25.715
524,22/05/15 12:23:26,38.967,9.057,25.695
525,22/05/15 12:23:36,38.970,9.057,25.674
526,22/05/15 12:23:46,38.973,9.056,25.654
527,22/05/15 12:23:56,38.975,9.054,25.635
528,22/05/15 12:24:06,38.981,9.053,25.615
529,22/05/15 12:24:16,38.983,9.052,25.595
530,22/05/15 12:24:26,38.985,9.052,25.576
531,22/05/15 12:24:36,38.986,9.051,25.557
532,22/05/15 12:24:46,38.985,9.050,25.538
533,22/05/15 12:24:56,38.989,9.049,25.519
534,22/05/15 12:25:06,38.996,9.048,25.501
535,22/05/15 12:25:16,38.998,9.049,25.483
536,22/05/15 12:25:26,39.001,9.049,25.464
537,22/05/15 12:25:36,39.002,9.047,25.446
538,22/05/15 12:25:46,39.006,9.045,25.429
539,22/05/15 12:25:56,39.008,9.045,25.411
540,22/05/15 12:26:06,39.010,9.044,25.394
541,22/05/15 12:26:16,39.011,9.044,25.377
542,22/05/15 12:26:26,39.014,9.045,25.360
543,22/05/15 12:26:36,39.017,9.043,25.344
544,22/05/15 12:26:46,39.017,9.042,25.327
545,22/05/15 12:26:56,39.020,9.041,25.311
546,22/05/15 12:27:06,39.022,9.042,25.295
547,22/05/15 12:27:16,39.024,9.040,25.280
548,22/05/15 12:27:26,39.026,9.041,25.264
549,22/05/15 12:27:36,39.025,9.039,25.249
