STNNBR,CASTNO,DATE_HOUR,LATITUDE,LONGITUDE,BTLNBR,CTDPRS,CTDTMP,CTDSAL,CTDOXY,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT,NITRAT_FLAG_W,SIGMA
,,,,,,DBAR,ITS-90,PSS-78,UMOL/KG,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,KG/M3
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,1,1741.524,13.1771,38.4855,196.045,195.6,2,8.09,2,0.39,2,0.13,2,8.34,2,29.114
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,2,1481.362,13.1542,38.4879,193.135,192.7,2,8.12,2,0.39,2,0.08,2,8.43,2,29.112
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,3,1000.614,13.2829,38.5353,184.097,183.2,2,7.85,2,0.39,2,0.07,2,8.41,2,29.1068
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,4,700.763,13.4794,38.5915,176.984,175.7,2,7.37,2,0.39,2,0.06,2,8.4,2,29.0997
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,5,500.686,13.7423,38.6526,172.845,171,2,6.15,2,0.34,2,0.04,2,7.91,2,29.0849
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,6,295.058,13.7092,38.5656,183.313,182.8,2,4.31,2,0.29,2,0.08,2,7.04,2,29.0179
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,7,199.359,13.6507,38.4093,204.107,202.8,2,2.87,2,0.18,2,0.09,2,5.1,2,28.9062
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,8,97.789,14.0626,38.1688,231.657,229.8,2,1.37,2,0.05,2,0.07,2,1.43,2,28.6281
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,9,49.891,14.2104,37.9372,242.178,241.1,2,0.89,2,0.01,2,0.23,2,0.21,2,28.4152
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,10,19.904,15.3484,37.9072,251.39,250,2,0.85,2,0.01,2,0.03,2,0.09,2,28.1373
TEST,bioargomed01,"2015/05/12 20:10:21",43.55863,7.46306,11,4.951,18.5747,37.5115,239.026,238.2,2,0.6,2,0.01,2,0.05,2,0.04,2,27.0519
STA1,bioargomed02,"2015/05/16 03:41:34",38.17392,18.50192,1,501.406,14.2629,38.8727,191.884,191.2,2,4.17,2,0.18,2,0.09,2,4.8,2,29.143
