Cruise	Station	Type	Time	Latitude [Deg.north]	Longitude [Deg. East]	bottom depth [m]	CTD number	Bottle number	Pressure [db]	Depth [m]	Temperature [Deg. Celcius]	Potential temperature [Deg. Celcius]	Salinity	Potential density [kg m-3]	Oxygen CTD raw [micromol L-1]	Fluorescence wetlabs [RFU]	Beam attenuation [m-1]	CDOM wetlabs [microgram L-1]	PAR [micromol m-2 d-1]	SPAR [micromol m-2 d-1]	O2winkler[micromol L-1]	QF O2winkler	oxygen CTD cal [micromol L-1]	Fluorescence ECO [RFU]	bbp [m-1]	cp [m-1]	POC [micromol L-]	QF POC	PON [micromol L-1]	QF PON	Bacteria Abundance [cell/mL]	QF BA	% HNA	QF %HNA	Syne Abundance [cell/ml]	QF SA	Nano Abundance [cell/mL]	QF NA	Pico Abundance [cell/mL]	QF PA	Proc Abundance [cell/mL]	QF ProA	PO4 [microM]	Q PO4	Si(OH)4 [microM]	QSi(OH)4	NO2 [microM]	QNO2	NO3 [microM]	QNO3	Chlorophyll c3	Chlc3-QA	Chlorophyll c1+c2+MgDVP	Chlc2-QA	Sum Chlorophyllide_a	Chlda-QA	Peridinin	Peri-QA	Sum_Phaeophorbid_a	Phda-QA	19'-Butanoyloxyfucoxanthin	But-QA	Fucoxanthin	Fuco-QA	Neoxanthin	Neo-QA	Prasinoxanthin	Pras-QA	Violaxanthin	Viola-QA	19'-Hexanoyloxyfucoxanthin	Hex-QA	Diadinoxanthin	Diadino-QA	Antheraxanthin	Anthera-QA	Alloxanthin	Allo-QA	Diatoxanthin	Diato-QA	Zeaxanthin	Zea-QA	Lutein	Lut-QA	Bacteriochlorophyll a	Bchla-QA	Divinyl Chlorophyll b	DVChlb-QA	Chlorophyll b	Chlb-QA	TChlb	TChlb-QA	Divinyl Chlorophyll a	DVChla-QA	Chlorophyll a	Chla-QA	Total Chlorophyll a	Tchla-QA	Sum Phaeophytin a	Phytna-QA	Sum Carotenes	Tcar-QA	AT [µmol/kg]	QF AT	CT [µmol/kg]	QF DIC
SOCLIM	O22	B	2016-10-08T08:56:31	-29.00046	58.93006	4780	1	1	4737.543	4653.997	1.0103	0.6234	34.7002	27.8285	185.787	0.0096	0.5393	5.4985	1.00E-12	2.31E+03		9	196.837			1.02E-02		9		9		9		9		9		9		9		9		9		9		9		9																																																					2344.6	1	2245	1
SOCLIM	O22	B	2016-10-08T08:56:47	-29.00046	58.93006	4780	1	2	4737.254	4653.717	1.0111	0.6242	34.7003	27.8286	185.497	0.0123	0.5393	5.5076	1.00E-12	2.31E+03	208.8012435	1	196.547			1.02E-02		9		9		9		9		9		9		9		9	2.317	1	125.19	1	0.037	1	34.345	1																																																					2334.3	1	2238	1
SOCLIM	O22	B	2016-10-08T09:01:06	-29.00044	58.93006	4780	1	3	4635.312	4554.612	1.0227	0.6471	34.7011	27.8278	186.138	0.013	0.5391	5.3953	1.00E-12	2.26E+03	204.6949015	1	197.188			1.02E-02		9		9		9		9		9		9		9		9	2.321	1	124.86	1	0.039	1	34.337	1																																																					2370.2	1	2269.2	1
SOCLIM	O22	B	2016-10-08T09:05:47	-29.00044	58.93004	4780	1	4	4481.019	4404.531	1.0367	0.6782	34.7025	27.827	186.371	0.0088	0.5386	5.5512	1.00E-12	2.31E+03	205.4525612	1	197.421			9.27E-03		9		9		9		9		9		9		9		9	2.316	1	124.43	1	0.036	1	34.206	1																																																					2371.2	1	2267.5	1
SOCLIM	O22	B	2016-10-08T09:09:06	-29.00045	58.93006	4780	1	5	4374.419	4300.782	1.0673	0.7198	34.7042	27.8257	185.573	0.0127	0.538	5.5145	1.00E-12	2.31E+03		9	196.623			9.05E-03		9		9		9		9		9		9		9		9	2.317	1	124.08	1	0.037	1	34.275	1																																																					2374.6	1	2269.1	1
SOCLIM	O22	B	2016-10-08T09:12:21	-29.00044	58.93004	4780	1	6	4272.067	4201.123	1.1114	0.7738	34.7059	27.8237	184.235	0.011	0.5379	5.6681	1.00E-12	2.46E+03		9	195.285			8.97E-03		9		9		9		9		9		9		9		9	2.321	1	123.83	1	0.042	1	34.413	1																																																					2371.7	1	2270	1
SOCLIM	O22	B	2016-10-08T09:15:07	-29.0004	58.93004	4780	1	7	4169.717	4101.42	1.1677	0.8397	34.7085	27.8216	182.637	0.0142	0.5375	5.4434	1.00E-12	2.35E+03		9	193.687			8.45E-03		9		9		9		9		9		9		9		9	2.284	1	123.3	1	0.036	1	34.455	1																																																					2372.4	1	2268.2	1
SOCLIM	O22	B	2016-10-08T09:17:52	-29.00048	58.93004	4780	1	8	4067.777	4002.073	1.2122	0.8939	34.7108	27.8199	181.361	0.0102	0.5371	5.6727	1.00E-12	2.31E+03	199.0669438	1	192.411			8.35E-03		9		9		9		9		9		9		9		9	2.284	1	122.75	1	0.034	1	34.428	1																																																					2373.5	1	2270.4	1
SOCLIM	O22	B	2016-10-08T09:20:53	-29.00048	58.93004	4780	1	9	3963.831	3900.725	1.2511	0.9429	34.7126	27.8182	180.257	0.0176	0.5371	5.5695	1.00E-12	2.28E+03		9	191.307			8.17E-03		9		9		9		9		9		9		9		9	2.293	1	122.65	1	0.036	1	34.59	1																																																					2375.2	1	2272.3	1
SOCLIM	O22	B	2016-10-08T09:23:51	-29.00046	58.93004	4780	1	10	3862.08	3801.472	1.3172	1.018	34.7151	27.8152	177.507	0.0169	0.5371	5.5947	1.00E-12	2.29E+03	193.4535628	1	188.557			8.16E-03		9		9		9		9		9		9		9		9	2.296	1	122.24	1	0.033	1	34.559	1																																																					2379.8	1	2277	1
