


BODC Request Format Std. V1.0           Headers=  38 Data Cycles=    498
Series=     1113168                     Produced: 21-Jan-2013
Id                         CTD024 Unit> British Oceanographic Data Centre Liver>
022d4.5mN039d47.9mW                     start:20121023140000 end:20121023145800
Dep: floor 4796.4 sensor    3.0   496.3 Nom. sample int.:    1.0 DB
   13 Parameters included:
Parameter f    P    Q Absent Data Value Minimum Value  Maximum Value       Units
ACYCAA01  Y   11   21             -1.00          1.00         498.00     Dmnless
Sequence number
ATTNDR01  Y   23   33             -1.00          0.03           0.08          /m
Attenuance (red light wavelength) per unit length of the water body by 25cm pat>
CPHLPS01  Y   35   45             -1.00         -0.07           0.80      mg/m^3
Concentration of chlorophyll-a {chl-a} per unit volume of the water body [parti>
DOXYSC01  Y   47   57             -1.00        170.14         231.20      umol/l
Concentration of oxygen {O2} per unit volume of the water body [dissolved phase>
DWIRPP01  Y   59   69             -1.00          0.00          19.20       W/m^2
Downwelling 2-pi scalar irradiance as energy (PAR wavelengths) in the water bod>
OXYSSC01  Y   71   81             -1.00         64.61         109.78           %
Saturation of oxygen {O2} in the water body [dissolved phase] by Sea-Bird SBE 4>
POPTDR01  Y   83   93             -1.00         98.02          99.21           %
Transmittance (red light wavelength) per 25cm of the water body by 25cm path le>
POTMCV01  Y   95  105             -9.00         12.90          26.84        degC
Potential temperature of the water body by computation using UNESCO 1983 algori>
PRESPR01  Y  107  117            -99.00          3.00         500.00        dbar
Pressure (spatial co-ordinate) exerted by the water body by profiling pressure >
PSALCC01  Y  119  129             -1.00         35.76          37.49     Dmnless
Practical salinity of the water body by CTD and computation using UNESCO 1983 a>
SIGTPR01  Y  131  141             -1.00         24.58          27.00      kg/m^3
Sigma-theta of the water body by CTD and computation from salinity and potentia>
TEMPST01  Y  143  153             -9.00         12.97          26.83        degC
Temperature of the water body by CTD or STD
UWIRPP01  Y  155  165             -1.00          0.00           0.31       W/m^2
Upwelling 2-pi scalar irradiance as energy (PAR wavelengths) in the water body >

Format Record
(10,1,%9d,1,1,%7.3f,1,1,%6.2f,1,1,%5.1f,1,1,%6.2f,1,1,%6.2f,1,1,%7.3f,1,1,%6.3f,
1,1,%8.2f,1,1,%6.3f,1,1,%6.3f,1,1,%6.3f,1,1,%6.2f,1,1)

          

  Cycle   ACYCAA01:1  ATTNDR01:1  CPHLPS01:1  DOXYSC01:1  DWIRPP01:1  OXYSSC01:1  POPTDR01:1  POTMCV01:1  PRESPR01:1  PSALCC01:1  SIGTPR01:1  TEMPST01:1  UWIRPP01:1  
Number              f           f           f           f           f           f           f           f           f           f           f           f           f 
       1)          1       0.073        0.08       208.1       19.20      102.77      98.200      26.839        3.00      37.404      24.584      26.833        0.31 
       2)          2       0.073        0.06       208.4       10.80      102.92      98.180      26.839        4.00      37.404      24.584      26.833        0.31 
       3)          3       0.074        0.07       208.5       10.80      102.98      98.170      26.836        5.00      37.403      24.584      26.831        0.31 
       4)          4       0.073        0.09       208.4       10.20      102.94      98.200      26.837        6.00      37.404      24.585      26.832        0.31 
       5)          5       0.072        0.09       208.4       10.00      102.91      98.200      26.835        7.00      37.403      24.585      26.830        0.31 
       6)          6       0.072        0.07       208.1        9.12      102.79      98.210      26.836        8.00      37.403      24.584      26.831        0.30 
       7)          7       0.073        0.09       208.2        8.25      102.82      98.200      26.835        9.00      37.403      24.584      26.831        0.29 
       8)          8       0.073        0.08       208.3        7.45      102.85      98.190      26.828       10.00      37.402      24.586      26.824        0.28 
       9)          9       0.075        0.10       208.4        6.80      102.92      98.150      26.828       11.00      37.402      24.586      26.824        0.26 
      10)         10       0.073        0.12       208.7        6.43      103.03      98.200      26.823       12.00      37.401      24.587      26.819        0.25 
      11)         11       0.074        0.12       207.9        5.28      102.67      98.170      26.816       13.00      37.401      24.589      26.813        0.23 
      12)         12       0.074        0.11       208.3        5.34      102.86      98.180      26.819       14.00      37.402      24.589      26.816        0.21 
      13)         13       0.073        0.10       208.4        3.95      102.91      98.180      26.819       15.00      37.401      24.588      26.816        0.20 
      14)         14       0.073        0.10       208.3        3.98      102.87      98.190      26.821       16.00      37.401      24.588      26.818        0.20 
      15)         15       0.074        0.11       207.8        4.02      102.62      98.180      26.818       17.00      37.401      24.589      26.815        0.20 
      16)         16       0.074        0.12       207.9        3.78      102.66      98.180      26.814       18.00      37.401      24.590      26.812        0.19 
      17)         17       0.074        0.11       208.1        3.59      102.75      98.170      26.820       19.00      37.402      24.589      26.818        0.18 
      18)         18       0.074        0.16       208.4        3.00      102.87      98.180      26.810       20.00      37.401      24.591      26.808        0.18 
      19)         19       0.075        0.14       208.1        3.32      102.72      98.150      26.806       21.00      37.400      24.592      26.804        0.17 
      20)         20       0.076        0.09       208.4        2.99      102.87      98.120      26.809       22.00      37.401      24.591      26.808        0.16 
      21)         21       0.076        0.09       208.3        2.41      102.84      98.130      26.803       23.00      37.400      24.593      26.802        0.15 
      22)         22       0.074        0.09       207.9        2.65      102.65      98.170      26.806       24.00      37.400      24.592      26.805        0.15 
