Cruise	Latitude [degrees_north]	Longitude [degrees_east]	Depth [m]	Pressure [dbar]	CTD Temperature [deg C]	CTD Salinity [psu]	Theta [deg C]	Sigma-0	NO3  [µmol/kg]
OISO-24	-48.79822	72.37084	1002.84	1013.87	2.1707	34.6984	2.108	27.7214	32.1
OISO-24	-48.79822	72.37088	804.115	812.568	2.2526	34.6564	2.2032	27.68	33.8
OISO-24	-48.79814	72.37094	602.486	608.522	2.3052	34.5726	2.269	27.6075	34.5
OISO-24	-48.79818	72.37104	502.728	507.641	2.3124	34.5137	2.2827	27.5593	35.2
OISO-24	-48.79824	72.371	402.535	406.37	2.2666	34.4445	2.2433	27.5071	35
OISO-24	-48.79816	72.37106	302.674	305.484	2.063	34.3322	2.0464	27.433	32.7
OISO-24	-48.79822	72.37112	251.797	254.103	1.7136	34.2163	1.7007	27.3665	31
OISO-24	-48.7982	72.37104	202.673	204.504	1.5249	34.1125	1.5149	27.2968	30.7
OISO-24	-48.79814	72.37127	177.791	179.387	1.326	34.0599	1.3176	27.2683	30.2
OISO-24	-48.79818	72.3712	152.183	153.539	1.2262	34.0171	1.2192	27.2407	29.7
OISO-24	-48.7981	72.37122	125.541	126.651	1.3109	33.9513	1.3051	27.182	27.4
OISO-24	-48.79824	72.37118	102.043	102.94	2.1089	33.8977	2.1035	27.0805	23.8
OISO-24	-48.79816	72.37112	76.497	77.164	3.3013	33.8721	3.2965	26.9576	20.7
OISO-24	-48.79822	72.3712	51.305	51.75	3.786	33.8584	3.7826	26.8999	20.7
OISO-24	-48.79816	72.3712	41.432	41.79	3.8029	33.8581	3.8002	26.8979	20.1
OISO-24	-48.79822	72.37122	32.131	32.408	3.8089	33.8583	3.8068	26.8974	20.8
OISO-24	-48.79816	72.3712	21.638	21.824	3.8075	33.8583	3.806	26.8975	20.4
OISO-24	-48.79819	72.37126	11.538	11.636	3.8064	33.8587	3.8056	26.8978	20.9
OISO-24	-48.79818	72.37122	4.857	4.899	3.8068	33.8586	3.8065	26.8977	23.5
