    P[dbar]   T[ITS90]      Theta   Salinite      Gamma   Ox[ml/l]  Ox[um/kg]    Fluo[V]    F[Urel]   CSTAR[V]    C660[%]  C660[m-1]
      0.000    24.9100    24.9098    38.4707    25.9947    3.95391    171.703     1.2527     0.2087     4.4335    89.6621     0.1091
      1.000    24.9100    24.9098    38.4707    25.9947    3.95391    171.703     1.2527     0.2087     4.4335    89.6621     0.1091
      2.000    25.0751    25.0747    38.4736    25.9460    3.93098    170.713     1.1483     0.1502     4.4362    89.7184     0.1085
      3.000    25.0028    25.0019    38.4758    25.9697    3.94970    171.523     1.1540     0.1525     4.4389    89.7736     0.1079
      4.000    25.0028    25.0019    38.4751    25.9697    3.94970    171.523     1.1493     0.1506     4.4449    89.8964     0.1065
      5.000    24.9039    24.9028    38.4690    25.9956    3.96995    172.399     1.1540     0.1525     4.4491    89.9824     0.1056
      6.000    24.5433    24.5420    38.4564    26.0966    3.98849    173.192     1.1540     0.1525     4.4530    90.0634     0.1047
      7.000    24.1328    24.1313    38.4436    26.2115    4.05295    175.977     1.1561     0.1533     4.4572    90.1486     0.1037
      8.000    23.1617    23.1600    38.3941    26.4634    4.16126    180.654     1.1530     0.1521     4.4574    90.1527     0.1037
      9.000    22.2621    22.2603    38.3547    26.6949    4.28556    186.029     1.1530     0.1521     4.4585    90.1751     0.1034
     10.000    21.2850    21.2830    38.3348    26.9565    4.41245    191.514     1.1530     0.1521     4.4585    90.1751     0.1034
     11.000    20.4223    20.4202    38.3481    27.2045    4.53240    196.700     1.1570     0.1536     4.4585    90.1751     0.1034
     12.000    19.9135    19.9113    38.3402    27.3359    4.61919    200.458     1.1575     0.1538     4.4502    90.0070     0.1053
     13.000    19.4065    19.4041    38.3387    27.4696    4.71113    204.441     1.1643     0.1565     4.4476    89.9518     0.1059
     14.000    18.8761    18.8736    38.3369    27.6070    4.79616    208.124     1.1651     0.1569     4.4385    89.7663     0.1079
     15.000    18.6117    18.6090    38.3330    27.6724    4.85518    210.683     1.1673     0.1577     4.4335    89.6634     0.1091
     16.000    18.3383    18.3355    38.3420    27.7493    4.87935    211.727     1.1704     0.1590     4.4259    89.5067     0.1109
     17.000    18.2656    18.2626    38.3427    27.7684    4.89578    212.439     1.1814     0.1635     4.4194    89.3742     0.1123
     18.000    17.8587    17.8556    38.3363    27.8662    4.93132    213.980     1.1855     0.1652     4.4077    89.1336     0.1150
     19.000    17.4795    17.4762    38.3562    27.9760    4.96676    215.512     1.1892     0.1668     4.3979    88.9342     0.1173
     20.000    17.0941    17.0907    38.3465    28.0634    5.01325    217.529     1.1945     0.1691     4.3888    88.7475     0.1194
     21.000    16.7317    16.7282    38.3468    28.1516    5.03085    218.291     1.1990     0.1710     4.3877    88.7231     0.1197
     22.000    16.5689    16.5653    38.3519    28.1947    5.03085    218.291     1.2057     0.1739     4.3874    88.7184     0.1197
     23.000    16.3603    16.3565    38.3543    28.2463    5.03085    218.291     1.2057     0.1739     4.3859    88.6869     0.1201
     24.000    16.1592    16.1553    38.3558    28.2952    5.02494    218.035     1.2067     0.1744     4.3820    88.6079     0.1210
     25.000    15.8246    15.8206    38.3645    28.3804    5.02494    218.035     1.2172     0.1791     4.3732    88.4280     0.1230
     26.000    15.5473    15.5432    38.3706    28.4494    5.02494    218.035     1.2196     0.1801     4.3685    88.3312     0.1241
     27.000    15.2797    15.2755    38.3766    28.5156    5.03474    218.461     1.2403     0.1898     4.3532    88.0174     0.1276
     28.000    15.1124    15.1080    38.3820    28.5578    5.03566    218.500     1.2536     0.1962     4.3389    87.7243     0.1310
     29.000    14.9570    14.9525    38.3878    28.5975    5.03646    218.535     1.2711     0.2050     4.3197    87.3291     0.1355
     30.000    14.8180    14.8134    38.3939    28.6335    5.03646    218.535     1.2835     0.2115     4.3131    87.1946     0.1370
     31.000    14.7133    14.7086    38.3985    28.6605    5.03646    218.535     1.3038     0.2225     4.3003    86.9323     0.1400
     32.000    14.6358    14.6309    38.4042    28.6822    5.03471    218.460     1.3337     0.2395     4.2947    86.8172     0.1414
     33.000    14.4548    14.4498    38.4089    28.7260    5.02836    218.185     1.3347     0.2401     4.2744    86.4002     0.1462
     34.000    14.3279    14.3228    38.4042    28.7504    5.01474    217.596     1.3571     0.2538     4.2553    86.0090     0.1507
     35.000    14.2696    14.2643    38.4061    28.7647    4.98204    216.178     1.4085     0.2877     4.2429    85.7558     0.1537
     36.000    14.1677    14.1623    38.4035    28.7849    4.95554    215.030     1.4404     0.3113     4.2047    84.9710     0.1629
     37.000    14.0723    14.0668    38.3969    28.8007    4.91317    213.193     1.4677     0.3327     4.1905    84.6799     0.1663
     38.000    13.9825    13.9769    38.4007    28.8232    4.88622    212.024     1.5509     0.4070     4.1905    84.6799     0.1663
     39.000    13.9180    13.9122    38.4156    28.8487    4.86261    210.998     1.5879     0.4439     4.1905    84.6799     0.1663
     40.000    13.8957    13.8898    38.4263    28.8618    4.82964    209.566     1.6220     0.4818     4.1964    84.8022     0.1648
     41.000    13.8303    13.8243    38.4296    28.8785    4.82924    209.549     1.6527     0.5185     4.1970    84.8129     0.1647
     42.000    13.8147    13.8085    38.4327    28.8842    4.81076    208.747     1.6769     0.5489     4.1972    84.8175     0.1647
     43.000    13.7777    13.7714    38.4342    28.8934    4.74546    205.914     1.6884     0.5641     4.2023    84.9235     0.1634
     44.000    13.7337    13.7273    38.4284    28.8984    4.67922    203.041     1.6945     0.5723     4.2148    85.1791     0.1604
     45.000    13.6829    13.6763    38.4189    28.9020    4.59283    199.294     1.6945     0.5723     4.2259    85.4073     0.1577
     46.000    13.6193    13.6126    38.4190    28.9156    4.50882    195.650     1.6999     0.5796     4.2411    85.7180     0.1541
     47.000    13.5666    13.5598    38.4216    28.9289    4.45455    193.295     1.6999     0.5796     4.2522    85.9453     0.1514
     48.000    13.5387    13.5317    38.4223    28.9354    4.40283    191.051     1.6999     0.5796     4.2662    86.2332     0.1481
     49.000    13.5371    13.5300    38.4324    28.9436    4.35115    188.808     1.7089     0.5921     4.2913    86.7469     0.1422
     50.000    13.5146    13.5074    38.4329    28.9488    4.30727    186.903     1.7124     0.5970     4.3002    86.9298     0.1400
     51.000    13.5030    13.4956    38.4362    28.9538    4.23780    183.889     1.7124     0.5970     4.3165    87.2641     0.1362
     52.000    13.4767    13.4692    38.4392    28.9618    4.17033    180.961     1.7124     0.5970     4.3334    87.6112     0.1322
     53.000    13.4430    13.4353    38.4376    28.9677    4.08099    177.085     1.6965     0.5750     4.3409    87.7638     0.1305
     54.000    13.4047    13.3969    38.4316    28.9712    4.00488    173.784     1.6940     0.5716     4.3554    88.0615     0.1271
     55.000    13.3728    13.3647    38.4268    28.9745    3.96561    172.080     1.6745     0.5457     4.3745    88.4543     0.1227
     56.000    13.3717    13.3638    38.4314    28.9778    3.93305    170.667     1.6558     0.5222     4.3939    88.8521     0.1182
     57.000    13.3639    13.3557    38.4314    28.9797    3.90242    169.338     1.6266     0.4870     4.4041    89.0614     0.1158
     58.000    13.3495    13.3412    38.4311    28.9826    3.88958    168.781     1.5884     0.4446     4.4160    89.3047     0.1131
     59.000    13.3472    13.3387    38.4341    28.9854    3.87708    168.238     1.5883     0.4445     4.4218    89.4246     0.1118
     60.000    13.3457    13.3371    38.4374    28.9883    3.86851    167.866     1.5577     0.4130     4.4328    89.6490     0.1093
     61.000    13.3411    13.3322    38.4385    28.9903    3.86721    167.810     1.5411     0.3968     4.4412    89.8210     0.1073
     62.000    13.3407    13.3319    38.4398    28.9912    3.86709    167.804     1.5160     0.3736     4.4444    89.8878     0.1066
     63.000    13.3405    13.3314    38.4408    28.9922    3.85471    167.267     1.4974     0.3571     4.4485    89.9703     0.1057
     64.000    13.3271    13.3179    38.4411    28.9952    3.84299    166.758     1.4801     0.3426     4.4603    90.2125     0.1030
     65.000    13.3187    13.3094    38.4417    28.9975    3.83979    166.620     1.4612     0.3273     4.4701    90.4135     0.1008
     66.000    13.3184    13.3089    38.4416    28.9975    3.83948    166.606     1.4307     0.3039     4.4744    90.5019     0.0998
     67.000    13.3182    13.3086    38.4417    28.9976    3.83885    166.579     1.4043     0.2849     4.4769    90.5541     0.0992
     68.000    13.3182    13.3084    38.4429    28.9986    3.83885    166.579     1.3889     0.2743     4.4800    90.6163     0.0985
     69.000    13.3173    13.3074    38.4453    29.0007    3.83885    166.579     1.3675     0.2604     4.4908    90.8393     0.0961
     70.000    13.3132    13.3031    38.4462    29.0023    3.84101    166.672     1.3299     0.2373     4.4912    90.8464     0.0960
     71.000    13.3100    13.2998    38.4473    29.0039    3.84782    166.968     1.3255     0.2347     4.4915    90.8534     0.0959
     72.000    13.3087    13.2984    38.4485    29.0051    3.85343    167.211     1.3220     0.2327     4.4930    90.8842     0.0956
     73.000    13.3086    13.2981    38.4491    29.0056    3.85344    167.211     1.3099     0.2258     4.4948    90.9195     0.0952
     74.000    13.3067    13.2961    38.4509    29.0074    3.85444    167.254     1.3076     0.2245     4.4963    90.9522     0.0948
     75.000    13.3061    13.2950    38.4539    29.0102    3.85444    167.254     1.2896     0.2147     4.4992    91.0111     0.0942
     76.000    13.3061    13.2950    38.4560    29.0118    3.85444    167.254     1.2849     0.2122     4.5028    91.0841     0.0934
     77.000    13.3061    13.2950    38.4587    29.0137    3.85392    167.231     1.2720     0.2055     4.5050    91.1295     0.0929
     78.000    13.3088    13.2976    38.4612    29.0151    3.85092    167.100     1.2480     0.1935     4.5066    91.1622     0.0925
     79.000    13.3096    13.2982    38.4643    29.0174    3.84185    166.706     1.2417     0.1905     4.5084    91.1998     0.0921
